year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,09,JIA,WILKIE ROAD,SDB Asia Pte Ltd,Non-Landed,CCR,22,22,10,12,0,0,-,-,-
2010,09,JULUCA,PASIR PANJANG ROAD,Heeton Residence Pte Ltd,Strata-Landed,RCR,17,17,17,0,0,0,-,-,-
2010,09,JUPITER 18,LORONG 102 CHANGI,RH Changi Pte Ltd,Non-Landed,RCR,53,53,43,10,53,43,"13,853","8,697","14,564"
2010,09,KASARA,OCEAN DRIVE (SENTOSA COVE),Lakefront Pte Ltd,Landed,CCR,13,13,13,0,0,0,-,-,-
2010,09,KEMBANGAN SUITES,JALAN MASJID,Asimont Properties Pte Ltd,Non-Landed,OCR,60,60,60,0,0,0,-,-,-
2010,09,KIARA TEN,LORONG MARZUKI,Pinnacle Land Pte Ltd,Strata-Landed,OCR,10,10,10,0,0,0,-,-,-
2010,09,KILLINEY 118,KILLINEY ROAD,Creslin Pte Ltd,Non-Landed,CCR,30,0,0,0,0,0,-,-,-
2010,09,KING'S 8,KING'S ROAD,Longitude Central Pte Ltd,Strata-Landed,CCR,8,8,7,1,0,0,-,-,-
2010,09,KOVAN RESIDENCES,KOVAN ROAD,Centurion Kovan Pte Ltd,Non-Landed,OCR,521,521,471,50,0,6,"10,312","10,075","11,378"
2010,09,L'VIV,NEWTON ROAD,Winnorth Investment Pte Ltd,Non-Landed,CCR,147,110,94,16,0,1,"25,371","25,371","25,371"
2010,09,LA BRISA,LORONG 28 GEYLANG,Tiara Realty Pte Ltd,Non-Landed,RCR,84,84,84,0,0,0,-,-,-
2010,09,LA DOLCE VITA,UPPER PAYA LEBAR ROAD,LRG Development Pte Ltd,Non-Landed,OCR,41,20,12,8,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,ANDREWS TERRACE/WAK HASSAN DRIVE,Mecbonn Realty Pte Ltd,Landed,OCR,23,2,2,0,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Ximeng Land (S) Pte Ltd,Landed,CCR,19,2,2,0,1,1,"22,368","22,368","22,368"
2010,09,LANDED HOUSING DEVELOPMENT,GALISTAN AVENUE,Whye Wah Development & Construction Pte Ltd,Landed,OCR,8,8,6,2,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,HOLLAND PARK,Lion (S) Pte Ltd,Landed,CCR,8,8,8,0,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,JALAN PEMIMPIN/MARYMOUNT TERRACE,Soon Lian Realty Pte Ltd,Landed,RCR,10,10,8,2,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,KERONG LANE,Fragrance Homes Pte Ltd,Landed,OCR,15,15,15,0,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,PEIRCE ROAD,Far East Land And Housing Development Co Pte Ltd,Landed,CCR,6,0,0,0,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,PENAGA PLACE / INGGU ROAD,JBE Holdings Pte Ltd,Landed,OCR,14,14,6,8,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,PLATINA ROAD,LWB Investment Pte Ltd,Landed,OCR,7,7,7,0,0,1,"12,110","12,110","12,110"
2010,09,LANDED HOUSING DEVELOPMENT,SENNETT ROAD,Fragrance Homes Pte Ltd,Landed,OCR,6,6,5,1,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,SIGLAP HILL,Galaxy Ventures Pte Ltd,Strata-Landed,OCR,6,6,6,0,0,0,-,-,-
2010,09,LANDED HOUSING DEVELOPMENT,SWETTENHAM ROAD,Glaxton Trading Pte Ltd,Landed,CCR,4,4,4,0,0,0,-,-,-
2010,09,LATITUDE,JALAN MUTIARA,Phoenix Realty Pte Ltd,Non-Landed,CCR,127,127,81,46,0,0,-,-,-
2010,09,LE MARICAN,LORONG MARICAN,TGL Development Pte Ltd,Non-Landed,OCR,12,1,1,0,0,0,-,-,-
2010,09,LE NOUVEL ARDMORE,ARDMORE PARK,Winrose Investment Pte Ltd,Non-Landed,CCR,43,0,0,0,0,0,-,-,-
2010,09,LEICESTER SUITES,LEICESTER ROAD,Macly Capital Pte Ltd,Non-Landed,RCR,47,47,46,1,0,0,-,-,-
2010,09,LIBERTE,SARKIES ROAD,Ellamount Investments Pte Ltd,Non-Landed,CCR,32,0,0,0,0,0,-,-,-
2010,09,LINCOLN SUITES,KHIANG GUAN AVENUE,Phileap Pte Ltd,Non-Landed,CCR,175,130,99,31,0,2,"21,248","21,227","21,270"
2010,09,LIVIA,PASIR RIS GROVE,Hong Realty Pte Ltd,Non-Landed,OCR,724,724,724,0,0,0,-,-,-
2010,09,LOFT @ NATHAN,RIVER VALLEY ROAD,Oxley JV Pte Ltd,Non-Landed,CCR,121,60,47,13,0,16,"21,280","18,729","22,809"
2010,09,LOFT @ RANGOON,RANGOON ROAD,Ascend Asset Pte Ltd,Non-Landed,RCR,24,24,24,0,0,0,-,-,-
