year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2007,06,38 AMBER,AMBER ROAD,Ho Brothers Investment Pte Ltd,Non-Landed,RCR,30,0,0,0,0,0,-,-,-
2007,06,3@PHILLIPS,PHILLIPS AVENUE,Sovereign Development Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,06,3BHC,BRIGHT HILL CRESCENT,Manston Land Pte Ltd,Strata-Landed,RCR,11,11,11,0,0,0,-,-,-
2007,06,8 @ MOUNT SOPHIA,MOUNT SOPHIA,FCL Sophia Pte Ltd,Non-Landed,CCR,313,313,313,0,0,0,-,-,-
2007,06,8 @ STRATTON,STRATTON GREEN,Fairview Developments Pte Ltd,Strata-Landed,OCR,8,0,0,0,0,0,-,-,-
2007,06,8 NAPIER,NAPIER ROAD,Napier Properties Pte Ltd,Non-Landed,CCR,46,0,0,0,0,0,-,-,-
2007,06,AQUENE,JOO CHIAT PLACE/LORONG BANDANG,Deneside Pte Ltd,Non-Landed,OCR,22,0,0,0,0,0,-,-,-
2007,06,ARDMORE II,ARDMORE PARK/ANDERSON ROAD,Actbilt Pte Ltd,Non-Landed,CCR,118,118,118,0,0,1,"32,432","32,432","32,432"
2007,06,ASTOR,LENGKONG EMPAT,Astor Properties Pte Ltd,Non-Landed,OCR,55,55,48,7,0,3,"6,889","5,156","8,127"
2007,06,ATRIUM RESIDENCES,LORONG 28/LORONG 30 GEYLANG/GEYLANG ROAD,Novelty Singapore Pte Ltd,Non-Landed,RCR,142,142,142,0,0,0,-,-,-
2007,06,AXIS @ SIGLAP,EAST COAST TERRACE,Roxy Homes Pte Ltd,Non-Landed,OCR,40,40,40,0,0,0,-,-,-
2007,06,BALMORAL HILLS,BALMORAL PARK,Artesian Investments Pte Ltd,Non-Landed,CCR,62,62,62,0,0,0,-,-,-
2007,06,BALMORAL PLACE,BALMORAL CRESCENT,HH Investment Pte Ltd,Non-Landed,CCR,28,28,1,27,0,0,-,-,-
2007,06,BANYAN VILLAS,LENTOR ROAD,Tai Lai Holdings Pte Ltd,Landed,OCR,64,64,48,16,0,0,-,-,-
2007,06,BAYOU RESIDENCE,UPPER PAYA LEBAR ROAD,349UP Pte Ltd,Non-Landed,OCR,29,0,0,0,0,0,-,-,-
2007,06,BEAUFORT ON NASSIM,NASSIM ROAD,Powerford Pte Ltd,Non-Landed,CCR,30,30,29,1,0,2,"29,084","21,528","36,630"
2007,06,BELLE VUE RESIDENCES,OXLEY WALK,Winquest Investment Pte Ltd,Non-Landed,CCR,176,0,0,0,0,0,-,-,-
2007,06,BELLEZZA @ KATONG,CEYLON ROAD,Everspring Realty Pte Ltd,Non-Landed,RCR,24,24,24,0,0,1,"9,451","9,451","9,451"
2007,06,BLEU @ EAST COAST,UPPER EAST COAST ROAD,Sim Lian (East Coast) Pte Ltd,Non-Landed,OCR,62,62,62,0,0,0,-,-,-
2007,06,BLISS RESIDENCES,JALAN MASJID,One Two Holdings Pte Ltd,Non-Landed,OCR,23,0,0,0,0,0,-,-,-
2007,06,BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,Woodleigh Gardens Pte Ltd,Non-Landed,RCR,240,240,238,2,0,2,"5,317","5,285","5,350"
2007,06,BLUWATERS 2,JALAN LOYANG BESAR,Novelty Capital Pte Ltd,Non-Landed,OCR,71,71,13,58,69,11,"8,084","7,976","8,837"
2007,06,BOTANIKA,HOLLAND ROAD,Premiera Development Pte Ltd,Non-Landed,CCR,34,34,34,0,0,0,-,-,-
2007,06,BOTANNIA,WEST COAST PARK,City Developments Ltd/Leonie Court Pte Ltd,Non-Landed,OCR,493,350,255,95,150,104,"8,019","7,223","9,311"
2007,06,BOULEVARD VUE,ANGULLIA PARK,High Oak Properties Pte Ltd,Non-Landed,CCR,28,0,0,0,0,0,-,-,-
2007,06,BUCKLEY 18,BUCKLEY ROAD,Hong Realty Pte Ltd,Non-Landed,CCR,49,49,49,0,0,0,-,-,-
2007,06,BUCKLEY RESIDENCE,BUCKLEY ROAD,Buckley Development Pte Ltd,Non-Landed,CCR,13,13,7,6,0,1,"11,216","11,216","11,216"
2007,06,BUKIT VILLAS,WOODLANDS ROAD,Wan Fu Investments Pte Ltd,Landed,OCR,121,24,2,22,0,0,-,-,-
2007,06,CABANA,SUNRISE TERRACE,Bullion Holdings Pte Ltd,Strata-Landed,OCR,119,0,0,0,0,0,-,-,-
2007,06,CADENCE LIGHT,TELOK KURAU ROAD,Primelot Properties Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,06,CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,Cairnhill Green Pte Ltd,Non-Landed,CCR,97,97,97,0,0,0,-,-,-
2007,06,CAIRNHILL VIEW,CAIRNHILL RISE,Far East Organization Centre Pte Ltd,Non-Landed,CCR,55,0,0,0,0,0,-,-,-
2007,06,CALLIDORA VILLE,LORONG N TELOK KURAU,Primelot Properties Pte Ltd,Non-Landed,OCR,34,0,0,0,0,0,-,-,-
2007,06,CARABELLE,WEST COAST WAY,Sim Lian (West Coast) Pte Ltd,Non-Landed,OCR,338,338,336,2,0,2,"7,739","7,696","7,782"
2007,06,CARLYX GREEN,CARLISLE ROAD,World Class Land Pte Ltd,Non-Landed,RCR,12,12,12,0,0,0,-,-,-
2007,06,CASA MERAH,TANAH MERAH KECHIL AVENUE,Choice Homes Beta Pte Ltd,Non-Landed,OCR,556,556,556,0,0,9,"7,696","6,566","7,955"
2007,06,CASERO @ DUNMAN,DUNMAN ROAD,Scan-Bilt Development Pte Ltd,Non-Landed,RCR,15,15,15,0,15,15,"10,226","7,685","10,689"
2007,06,CASHEW HILL,CASHEW ROAD,Lucky Realty Co Pte Ltd,Landed,OCR,31,15,10,5,0,0,-,-,-
2007,06,CENTURION 12,BRIGHT HILL CRESCENT,Royal Oak Development Pte Ltd,Strata-Landed,RCR,8,8,8,0,0,0,-,-,-
2007,06,CENTURION RESIDENCES,PUAY HEE AVENUE,Yi Kai Development Pte Ltd,Strata-Landed,RCR,15,15,15,0,0,2,"5,533","5,253","5,813"
2007,06,CHELSEA GROVE,BALESTIER ROAD/MARTABAN ROAD,Myriad Forte Construction Pte Ltd,Non-Landed,RCR,23,23,23,0,0,0,-,-,-
2007,06,CHESTNUT RESIDENCES,JALAN PAKIS,Success Century Development Pte Ltd,Strata-Landed,OCR,10,0,0,0,0,0,-,-,-
2007,06,CITY EDGE,MOULMEIN RISE,Leng Hoe Development Pte Ltd,Non-Landed,CCR,49,49,49,0,0,0,-,-,-
2007,06,CITY REGENCY,ST. MICHAEL'S ROAD,Fragrance Homes Pte Ltd,Non-Landed,RCR,56,56,47,9,0,0,-,-,-
2007,06,CITY SQUARE RESIDENCES,KITCHENER LINK,City Developments Ltd,Non-Landed,RCR,910,910,910,0,0,0,-,-,-
2007,06,CITYLIGHTS,JELLICOE ROAD,Woodsvale Land Pte Ltd,Non-Landed,RCR,600,600,600,0,0,0,-,-,-
2007,06,CITYVISTA RESIDENCES,PECK HAY ROAD,PH Properties Pte Ltd,Non-Landed,CCR,70,21,21,0,21,21,"28,503","25,801","30,441"
2007,06,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,FCL Loft Pte Ltd,Non-Landed,OCR,240,240,240,0,0,0,-,-,-
2007,06,CLIVEDEN AT GRANGE,GRANGE ROAD/JALAN ARNAP,City Developments Ltd,Non-Landed,CCR,110,44,17,27,44,17,"37,362","35,726","43,174"
2007,06,CLYDES RESIDENCE,MERGUI ROAD,Clydesbuilt Development Pte Ltd,Non-Landed,RCR,48,48,35,13,0,0,-,-,-
2007,06,COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,Sustained Land Pte Ltd,Non-Landed,OCR,40,0,0,0,0,0,-,-,-
2007,06,CRYSTAL DE AZURE,HOW SUN CLOSE,Ho Liew Leng Edwin & Ho Soo Tong,Non-Landed,OCR,12,12,12,0,0,0,-,-,-
2007,06,CUSCADEN ROYALE,ANGULLIA PARK,Leong Hoe Development Pte Ltd,Non-Landed,CCR,46,46,41,5,0,1,"28,654","28,654","28,654"
2007,06,D' PALMA,LORONG MYDIN,Rosadale Pte Ltd,Non-Landed,OCR,18,18,17,1,0,1,"5,339","5,339","5,339"
2007,06,D'EVELYN,EVELYN ROAD,Eastern Development (ER) Pte Ltd,Non-Landed,CCR,24,24,19,5,0,2,"15,188","15,113","15,253"
2007,06,D'LOTUS,LORONG AMPAS,Rufiji Pte Ltd,Non-Landed,RCR,83,83,11,72,0,0,-,-,-
2007,06,D'OASIA,LORONG MELAYU,Monfort Land Pte Ltd,Non-Landed,OCR,32,32,13,19,32,13,"10,140","9,849","10,807"
2007,06,D'PAVILION,UPPER SERANGOON ROAD,MCL Land (Serangoon) Pte Ltd,Non-Landed,OCR,50,0,0,0,0,0,-,-,-
2007,06,D'SUNRISE,JOO CHIAT LANE,Vicland Pte Ltd,Non-Landed,RCR,12,12,12,0,0,0,-,-,-
2007,06,DALLA VALE,SPRINGLEAF AVENUE,Boo Han Holdings Pte Ltd,Strata-Landed,OCR,60,36,17,19,16,1,"6,997","6,997","6,997"
2007,06,DE CENTURION,TANJONG RHU ROAD,Target Home Pte Ltd,Non-Landed,RCR,42,0,0,0,0,0,-,-,-
2007,06,DOMAIN 21,DELTA ROAD,Valley Development Pte Ltd,Non-Landed,RCR,141,141,141,0,0,0,-,-,-
2007,06,DUCHESS RESIDENCES,DUCHESS AVENUE,Duchess Walk Pte Ltd,Non-Landed,CCR,120,120,95,25,120,95,"18,783","16,168","24,230"
2007,06,DUNSFOLD 18,DUNSFOLD DRIVE,Fortune Land Pte Ltd,Strata-Landed,OCR,18,18,5,13,0,3,"8,299","8,245","8,299"
2007,06,E-SPACE,LORONG K TELOK KURAU,Fragrance Land Pte Ltd,Non-Landed,OCR,14,14,14,0,0,5,"8,945","8,751","9,214"
2007,06,ECOVILLE,MARTABAN ROAD,Teambuild Properties Pte Ltd,Non-Landed,RCR,30,30,30,0,0,0,-,-,-
2007,06,EDELWEISS PARK CONDOMINIUM,UPPER CHANGI ROAD NORTH,Tripartite Developers Pte Ltd,Non-Landed,OCR,517,517,517,0,0,0,-,-,-
2007,06,EIGHT @ EAST COAST,EAST COAST AVENUE,East Coast Properties Pte Ltd,Strata-Landed,OCR,12,12,12,0,0,0,-,-,-
2007,06,EMPRADO SUITES,LORONG N TELOK KURAU,Infinity Development Pte Ltd,Non-Landed,OCR,16,16,16,0,0,2,"7,987","7,556","8,407"
2007,06,ESPA,CASHEW ROAD,SB (Cashew) Development Pte Ltd,Non-Landed,OCR,78,78,74,4,0,8,"7,944","7,653","12,034"
2007,06,ESTILO,WILKIE ROAD,Sino Holdings (S) Pte Ltd,Non-Landed,CCR,58,0,0,0,0,0,-,-,-
2007,06,ESTIQUE,ROSE LANE,Macly Pte Ltd,Non-Landed,RCR,28,28,28,0,0,0,-,-,-
2007,06,FERRARIA PARK CONDOMINIUM,FLORA DRIVE,Tripartite Developers Pte Ltd,Non-Landed,OCR,472,472,415,57,0,47,"6,997","5,877","8,008"
2007,06,FLORIDA PARK (PHASE 3),YIO CHU KANG ROAD,Bullion Holdings Pte Ltd,Landed,OCR,73,18,6,12,0,0,-,-,-
2007,06,FLORIDIAN,BUKIT TIMAH ROAD,Orwin Development Ltd,Non-Landed,RCR,336,0,0,0,0,0,-,-,-
2007,06,FONTAINE PARRY,POH HUAT ROAD,Grensburg Investment Pte Ltd,Non-Landed,OCR,125,0,0,0,0,0,-,-,-
2007,06,FRUITION,MANGIS ROAD,Heritage Development Pte Ltd,Non-Landed,RCR,22,22,21,1,0,0,-,-,-
2007,06,GARDENVISTA,DUNEARN ROAD,YHS Dunearn Pte Ltd,Non-Landed,RCR,318,318,299,19,0,3,"11,184","11,108","12,023"
2007,06,GRAND DUCHESS AT ST PATRICK'S,ST PATRICK'S ROAD,UIC Investment Pte Ltd,Non-Landed,OCR,121,121,121,0,0,0,-,-,-
2007,06,HELIOS RESIDENCES,CAIRNHILL CIRCLE,Winnervest Investment Pte Ltd,Non-Landed,CCR,140,51,51,0,51,51,"31,915","28,643","36,242"
2007,06,HERITAGE RESIDENCES,LORONG L TELOK KURAU,Warees Land Pte Ltd,Non-Landed,OCR,19,19,17,2,0,1,"7,126","7,126","7,126"
2007,06,HILLCREST VILLA,HILLCREST ROAD,MCL Land Realty Pte Ltd,Strata-Landed,CCR,163,0,0,0,0,0,-,-,-
2007,06,HILLTOPS,CAIRNHILL CIRCLE,Taraville Pte Ltd,Non-Landed,CCR,241,0,0,0,0,0,-,-,-
2007,06,HILLVISTA,ELIZABETH DRIVE,Beauty World Properties Pte Ltd,Non-Landed,OCR,127,0,0,0,0,0,-,-,-
2007,06,ICON,GOPENG STREET,Lucky Pinnacle Pte Ltd,Non-Landed,CCR,646,646,600,46,0,0,-,-,-
2007,06,IDYLLIC RESIDENCES,LORONG M TELOK KURAU,Hillwood Development Pte Ltd,Non-Landed,OCR,29,0,0,0,0,0,-,-,-
2007,06,ILLOURA,OLD HOLLAND ROAD,Brisbane Development Pte Ltd,Strata-Landed,CCR,30,0,0,0,0,0,-,-,-
2007,06,IMPERIAL HEIGHTS,IPOH LANE,Fragrance Properties Pte Ltd,Non-Landed,RCR,100,100,100,0,0,0,-,-,-
2007,06,INTERO,LEICESTER ROAD,Fortune Homes Pte Ltd,Non-Landed,RCR,48,48,48,0,0,0,-,-,-
2007,06,IRIDIUM,LINCOLN ROAD,Novelty Properties Pte Ltd,Non-Landed,CCR,45,45,44,1,0,0,-,-,-
2007,06,JARDIN,DUNEARN ROAD,YHS Dunearn Pte Ltd,Non-Landed,RCR,140,0,0,0,0,0,-,-,-
2007,06,JLB RESIDENCES,JALAN LOYANG BESAR,Springlife JLB Pte Ltd,Non-Landed,OCR,36,36,35,1,0,0,-,-,-
2007,06,KOVAN MELODY,KOVAN ROAD,Winhome Investment Pte Ltd,Non-Landed,OCR,778,778,777,1,0,4,"7,018","5,737","7,804"
2007,06,KOVANA,KOVAN ROAD,Vandar Properties Pte Ltd,Non-Landed,OCR,18,3,3,0,1,1,"7,578","7,578","7,578"
2007,06,LA CASA,WOODLANDS DRIVE 16,Tanglin View Pte Ltd,Exec Condo,OCR,444,398,308,90,0,2,"5,619","5,500","5,726"
2007,06,LANDED HOUSING DEVELOPMENT,CORAL ISLAND (SENTOSA COVE),Ho Bee (Sentosa) Pte Ltd,Landed,CCR,21,21,21,0,0,1,"10,904","10,904","10,904"
2007,06,LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,Fragrance Land Pte Ltd,Landed,OCR,12,0,0,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,HOLLAND PARK,Lion (S) Pte Ltd,Landed,CCR,8,5,5,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,DDS Development Pte Ltd,Strata-Landed,RCR,6,0,0,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,JALAN DAUD/JALAN ISHAK,Papageno Investment Pte Ltd,Landed,OCR,6,0,0,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,JALAN PEMIMPIN/MARYMOUNT TERRACE,Soon Lian Realty Pte Ltd,Landed,RCR,23,10,8,2,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,JALAN SELAMAT/JALAN KRIAN,Odeon Leasing Pte Ltd,Landed,OCR,6,3,3,0,1,1,"10,979","10,979","10,979"
2007,06,LANDED HOUSING DEVELOPMENT,MOUNT ROSIE,One Mount Rosie Pte Ltd,Strata-Landed,CCR,12,12,12,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,PEIRCE ROAD,Far East Land And Housing Development Co Pte Ltd,Landed,CCR,6,0,0,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,SIGLAP HILL,Galaxy Ventures Pte Ltd,Strata-Landed,OCR,6,6,1,5,6,1,"9,009","9,009","9,009"
2007,06,LANDED HOUSING DEVELOPMENT,SWETTENHAM ROAD,Glaxton Trading Pte Ltd,Landed,CCR,7,5,5,0,0,1,"9,031","9,031","9,031"
2007,06,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,Tiong Aik Development Pte Ltd,Landed,CCR,6,6,6,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,WILKINSON ROAD,Teck Chiang Realty Pte Ltd,Landed,RCR,7,7,7,0,0,0,-,-,-
2007,06,LANDED HOUSING DEVELOPMENT,YIO CHU KANG ROAD,Novelty Pte Ltd,Strata-Landed,OCR,36,36,36,0,0,0,-,-,-
2007,06,LATITUDE,JALAN MUTIARA,Phoenix Realty Pte Ltd,Non-Landed,CCR,127,0,0,0,0,0,-,-,-
2007,06,LE MERRITT,LORONG M TELOK KURAU,Primelot Properties Pte Ltd,Non-Landed,OCR,23,23,18,5,0,0,-,-,-
2007,06,LE REVE,SIMS AVENUE EAST/KAMPONG EUNOS,Hong Leong Holdings Ltd,Non-Landed,OCR,65,65,65,0,0,0,-,-,-
2007,06,LEITH GROVE,LEITH PARK,Etoile Homes Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,06,LEONIE PARC VIEW,LEONIE HILL ROAD,SB (Orchard) Development Pte Ltd,Non-Landed,CCR,44,44,26,18,0,4,"32,055","29,407","33,368"
2007,06,LORNIE 18,LORNIE ROAD,Clydesbuilt Capital Pte Ltd,Strata-Landed,CCR,18,0,0,0,0,0,-,-,-
2007,06,LUMA,RIVER VALLEY GROVE,Novelty Holdings Pte Ltd,Non-Landed,CCR,75,0,0,0,0,0,-,-,-
2007,06,LUMIERE,MISTRI ROAD/PARSI ROAD,BS Shenton Pte Ltd,Non-Landed,CCR,168,100,92,8,0,3,"20,333","19,537","20,785"
2007,06,LYNNSVILLE 331,PASIR PANJANG ROAD,Kim Leong Development Pte Ltd,Strata-Landed,RCR,19,19,19,0,0,0,-,-,-
2007,06,M21,MANDALAY ROAD,Fortune Capital Pte Ltd,Non-Landed,CCR,61,0,0,0,0,0,-,-,-
2007,06,MACKENZIE 88,MACKENZIE ROAD,Galaxy Homes Pte Ltd,Non-Landed,CCR,55,55,55,0,55,55,"14,090","12,379","17,061"
2007,06,MACKENZIE REGENCY,MACKENZIE ROAD,Wah Khiaw Properties Pte Ltd,Non-Landed,CCR,19,19,17,2,0,0,-,-,-
2007,06,MARINA BAY RESIDENCES,MARINA BOULEVARD,Marina Bay Residences Pte Ltd,Non-Landed,CCR,428,428,428,0,0,2,"28,406","27,739","29,074"
2007,06,MARLENE VILLE,MARLENE AVENUE,Fong Tat Holding Co Pte Ltd,Strata-Landed,OCR,17,17,17,0,0,0,-,-,-
2007,06,MEDALLION,BRADDELL ROAD,Heritage @ Braddell Pte Ltd,Strata-Landed,OCR,16,16,13,3,0,1,"8,514","8,514","8,514"
2007,06,MEDGE,MINBU ROAD,Macly Pte Ltd,Non-Landed,CCR,44,44,44,0,0,0,-,-,-
2007,06,MERA EAST,LORONG 110 CHANGI,MCL Land (Serangoon) Pte Ltd,Non-Landed,OCR,52,52,52,0,0,0,-,-,-
2007,06,MERA SPRINGS,CARLISLE ROAD/NORFOLK ROAD,MCL Land (Property Management) Pte Ltd,Non-Landed,RCR,129,129,129,0,0,0,-,-,-
2007,06,MEYER RESIDENCE,MEYER PLACE,Meyer Development Pte Ltd,Non-Landed,RCR,68,68,68,0,0,0,-,-,-
2007,06,MILFORD VILLAS,LORONG SELANGAT,Fortune Land Pte Ltd,Strata-Landed,OCR,13,13,13,0,0,0,-,-,-
2007,06,"MIMOSA TERRACE (PH 4,PH 6)",MIMOSA ROAD/SARACA ROAD,Singapore United Estates Pte Ltd,Landed,OCR,83,83,83,0,0,0,-,-,-
2007,06,MINT RESIDENCES @ JANSEN,JANSEN ROAD,Jansville Capital Pte Ltd,Non-Landed,OCR,18,0,0,0,0,0,-,-,-
2007,06,MIRO,LINCOLN ROAD,Arts Associate Co Pte Ltd,Non-Landed,CCR,85,0,0,0,0,0,-,-,-
2007,06,MONT TIMAH,BUKIT WAY,Maylands Investment Pte Ltd,Strata-Landed,OCR,32,0,0,0,0,0,-,-,-
2007,06,MONTEBLEU,MINBU ROAD,SB (Blueteak) Development Pte Ltd,Non-Landed,CCR,151,151,151,0,0,0,-,-,-
2007,06,MONTVIEW,MOUNT SINAI DRIVE,HBO Investments Pte Ltd,Non-Landed,CCR,115,115,115,0,0,0,-,-,-
2007,06,MOUNTBATTEN REGENCY,MOUNTBATTEN ROAD,Y and Z Investment Pte Ltd,Non-Landed,RCR,13,13,13,0,0,0,-,-,-
2007,06,MURANO,PASIR PANJANG ROAD,Novelty Global Pte Ltd,Non-Landed,RCR,50,50,50,0,0,0,-,-,-
2007,06,NATHAN RESIDENCES,NATHAN ROAD,Tat Aik Property Pte Ltd,Non-Landed,CCR,91,0,0,0,0,0,-,-,-
2007,06,NEWTON ONE,NEWTON ROAD,HKCL Investments Pte Ltd,Non-Landed,CCR,91,91,90,1,0,0,-,-,-
2007,06,NEWTON SUITES,NEWTON ROAD,UOL Development (Novena) Pte Ltd,Non-Landed,CCR,118,118,118,0,0,0,-,-,-
2007,06,NOMU,HANDY ROAD,Handy Investments Pte Ltd,Non-Landed,CCR,50,50,49,1,0,0,-,-,-
2007,06,NORTHWOOD,JALAN MATA AYER,UIC Investment Pte Ltd,Non-Landed,OCR,140,140,140,0,0,5,"6,652","6,598","6,964"
2007,06,NOVELIS,SINARAN DRIVE,Novena Capital Pte Ltd,Non-Landed,CCR,24,24,24,0,0,0,-,-,-
2007,06,OASIS GARDEN,JALAN BUNGA RAMPAI,Peak Homes Development Pte Ltd,Non-Landed,RCR,134,0,0,0,0,0,-,-,-
2007,06,ONE @ PULASAN,PULASAN ROAD/KOON SENG ROAD,Endo Realty Pte Ltd,Non-Landed,RCR,31,31,25,6,0,1,"9,074","9,074","9,074"
2007,06,ONE AMBER,AMBER GARDENS,Brendale Pte Ltd,Non-Landed,RCR,562,562,562,0,0,0,-,-,-
2007,06,ONE CHILTERN,CHILTERN DRIVE,TG (Windsor Park) Pte Ltd,Strata-Landed,OCR,6,6,6,0,0,0,-,-,-
2007,06,ONE DEVONSHIRE,DEVONSHIRE ROAD,Devonshire Peak Pte Ltd,Non-Landed,CCR,152,0,0,0,0,0,-,-,-
2007,06,ONE JERVOIS,JERVOIS CLOSE,FCL Joo Chiat Place Pte Ltd,Non-Landed,CCR,275,275,275,0,0,0,-,-,-
2007,06,ONE LEICESTER,LEICESTER ROAD/JLN TOA PAYOH/WOODSVILLE CLOSE,FCL Rise Pte Ltd,Non-Landed,RCR,194,194,194,0,0,0,-,-,-
2007,06,ONE LYNWOOD,LYNWOOD GROVE/BRADDELL ROAD,McRidge Investments Pte Ltd,Strata-Landed,OCR,8,8,6,2,8,6,"7,804","7,567","7,890"
2007,06,ONE OXLEY RISE,OXLEY RISE,Oxley Lights Development Pte Ltd,Non-Landed,CCR,89,89,89,0,0,22,"20,958","18,040","29,698"
2007,06,ONE ROBIN,ROBIN ROAD,Popular Land Pte Ltd,Non-Landed,CCR,14,0,0,0,0,0,-,-,-
2007,06,ONE SHENTON,SHENTON WAY,CDL Land Pte Ltd,Non-Landed,CCR,341,341,303,38,0,32,"21,001","18,449","28,352"
2007,06,ONE ST MICHAEL'S,SERANGOON ROAD/ST. MICHAEL'S ROAD,FCL Lodge Pte Ltd,Non-Landed,RCR,131,131,131,0,0,1,"6,728","6,728","6,728"
2007,06,ONE TREE HILL RESIDENCE,ONE TREE HILL,SB (Grange) Development Pte Ltd,Non-Landed,CCR,48,48,48,0,0,0,-,-,-
2007,06,ONE-NORTH RESIDENCES,ONE NORTH GATEWAY,Vista Development Pte Ltd,Non-Landed,RCR,405,405,405,0,0,1,"10,807","10,807","10,807"
2007,06,ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Pacific Rover Pte Ltd,Non-Landed,CCR,60,60,53,7,0,7,"23,455","21,948","24,219"
2007,06,ORCHARD SCOTTS,ANTHONY RD,Golden Development Pte Ltd,Non-Landed,CCR,387,180,32,148,0,2,"31,689","27,125","36,242"
2007,06,ORCHARD VIEW,ANGULLIA PARK,Bestbilt Pte Ltd,Non-Landed,CCR,30,0,0,0,0,0,-,-,-
2007,06,ORION,ORANGE GROVE ROAD,Aquila Development Pte Ltd,Non-Landed,CCR,46,41,41,0,0,0,-,-,-
2007,06,OWEN 88,OWEN ROAD,Ming Teik Co Pte Ltd,Non-Landed,RCR,12,12,0,12,0,0,-,-,-
2007,06,OXFORD SUITES,OXFORD ROAD,Oxford Development Pte Ltd,Non-Landed,RCR,60,60,60,0,0,0,-,-,-
2007,06,PALM GROVE REGENCY,PALM GROVE AVENUE,Fragrance Land Pte Ltd,Strata-Landed,OCR,20,20,20,0,0,5,"5,791","5,640","5,996"
2007,06,PALM LOFT,JOO CHIAT TERRACE,World Class Land Pte Ltd,Non-Landed,RCR,16,16,16,0,0,0,-,-,-
2007,06,PALM OASIS,LORONG H TELOK KURAU,World Class Property Pte Ltd,Non-Landed,OCR,56,56,56,0,0,0,-,-,-
2007,06,PALM VISTA,LORONG G TELOK KURAU,World Class Land Pte Ltd,Non-Landed,OCR,32,32,32,0,0,5,"8,547","8,342","9,096"
2007,06,PARADISE ISLAND,"PARADISE ISLAND, SENTOSA COVE",Ho Bee Homes Pte Ltd,Landed,CCR,29,29,28,1,0,0,-,-,-
2007,06,PARC EMILY,MOUNT EMILY ROAD,TC Development Pte Ltd,Non-Landed,CCR,295,295,295,0,0,0,-,-,-
2007,06,PARC MONDRIAN,WOODLEIGH CLOSE,Bukit Sembawang View Pte Ltd,Non-Landed,RCR,100,100,100,0,0,0,-,-,-
2007,06,PARK INFINIA AT WEE NAM,KENG LEE ROAD/LINCOLN ROAD/WEE NAM ROAD,Keppel Land Realty Pte Ltd,Non-Landed,CCR,486,486,434,52,0,22,"15,403","13,573","18,460"
2007,06,PARKVIEW ECLAT,GRANGE ROAD,Stream Ahead Pte Ltd,Non-Landed,CCR,35,35,20,15,0,2,"45,542","45,532","45,542"
2007,06,PATERSON LINC,PATERSON ROAD,Green Aces Paterson Pte Ltd,Non-Landed,CCR,35,0,0,0,0,0,-,-,-
2007,06,PATERSON RESIDENCE,PATERSON ROAD,First Capital Realty Pte Ltd,Non-Landed,CCR,110,110,110,0,0,0,-,-,-
2007,06,PATERSON SUITES,PATERSON ROAD/LENGKOK ANGSA,Bukit Sembawang View Pte Ltd,Non-Landed,CCR,102,20,11,9,18,9,"29,278","28,073","35,683"
2007,06,PAVILION 11,AKYAB ROAD/MINBU ROAD,UOL Development (Novena) Pte Ltd,Non-Landed,CCR,180,180,180,0,0,0,-,-,-
2007,06,PAVILION PARK (PHASES 1C & 1D),PAVILION CIRCLE,Bukit Batok Development Pte Ltd,Landed,OCR,80,43,42,1,0,1,"8,902","8,902","8,902"
2007,06,PHILLIPS RESIDENCE,PHILLIPS AVENUE,Agrow Development Pte Ltd,Strata-Landed,OCR,6,6,6,0,0,1,"4,446","4,446","4,446"
2007,06,PLATINUM EDGE,LEICESTER ROAD,Novelty Land Pte Ltd,Non-Landed,RCR,51,51,51,0,0,0,-,-,-
2007,06,POSHGROVE EAST,EAST COAST ROAD/LORONG N TELOK KURAU,Poshgrove Pte Ltd,Non-Landed,OCR,76,76,56,20,0,0,-,-,-
2007,06,PRESTIGE RESIDENCE,LORONG G TELOK KURAU,Fragrance Land Pte Ltd,Non-Landed,OCR,16,16,16,0,0,1,"9,354","9,354","9,354"
